serial,id
LR03Y7CM,000888b4-f9c7-4cd4-abbc-e245eb00faf3
LR048PU4,002d1eab-6124-4f89-b20d-32173f18dd7b
NXSHEAA00241305C267600,00b7ce9e-8885-4098-ae71-4aeebefb52ca
LR03XUBA,012f14f2-cb31-40a1-bb1c-db60a185bf41
NXSHEAA00241305B207600,01b363f8-9daf-4830-aecc-396956f36715
LR05XQZ3,01f841be-6670-4561-bcb1-f03dd5746070
LR03Y7M0,023c7d0c-f363-4e82-ad84-98a82397254a
NUSH7AA017335028D13400,02d3f3b6-a6e1-45f4-8d50-946f6a32774d
LR03Y7JS,02db8efc-f338-44bd-a1b7-300888826ed0
LR048PT2,03169a9c-5d5d-4318-8637-2ee7779e4d06
LR03Z19N,03191636-00b4-4bbb-805a-b2d82dac47f3
LR062U0Q,03332a71-ec24-46ec-9cab-4c5ac9c3ba50
LR062EAX,038935e3-0736-4cfb-9213-8092f5584eb3
LR048QKN,03a7a911-6843-4557-865e-c36d71a36ea9
LR062T6Y,03f91c1a-db03-4170-a52e-1e14a30806fc
NXSHEAA00241305A617600,0416ede5-880a-451d-b4c0-2c7b2282b92e
NXSHEAA00241002D8E7600,044ea9d6-acb8-4d99-b123-96f540f0a6f5
NXSHEAA0023510CDD17600,046d6ec0-416d-4c3a-82aa-6b634a709950
NXSHEAA00241305B277600,04eff6bf-af82-4f65-95df-52c8bca8213c
LR0451XU,0581cc24-c17d-4bfa-8a65-94c980d50994
LR062TYS,069d5e31-5d90-4fc9-ac51-96c459610cf2
LR03Y778,06a01b48-c493-486b-897a-61129280b16f
LR03Z1LB,06b602fd-c9ca-4ec5-9c98-3bb26f34131d
NXSHEAA0023510CDAB7600,0716f525-8858-41fb-b240-5024d8f85571
LR05C8XA,07377cd7-b6e1-41f7-ba4b-568ce8cc2caf
NXSHEAA00241305B8F7600,0780c445-3f95-4e69-8042-fa0b65f8b4ce
NXSHEAA00241305AE17600,07c20597-37f9-408c-b3cb-f4797434b0d6
LR03Z15Y,07de3a8f-3130-4ca9-8c06-b64bb6ba36e0
LR04550H,096c5fa8-1bca-4b57-b0af-1a1f17a4473b
NXSHEAA00241305A6E7600,09832a22-6b17-4cef-bb07-121b979157aa
LR03Y7DD,0998ae03-8e91-4e6b-8b3d-8ea1ad86fc63
LR03Y7L1,09e720e1-fdbc-492c-b596-4f72d71d07a0
NXSHEAA00241305C387600,09f913c9-4ea4-43c2-abd8-2c67971d1399
LR062U0D,0b26b3dd-5f3e-4faa-8c4d-f36fc6155885
LR05C94Z,0b647e7d-6d2c-41f1-9a7a-31a82c123dfc
LR03Y75C,0c6b1dc2-a704-46cc-9cd0-37c1c40822cf
LR048PQN,0c889cc0-7a7e-4875-ac11-a6770cedc45c
NXSHEAA00241002E037600,0cade22b-2456-4d3a-9e35-db1d186cfa2b
LR048QAX,0ce7e2e7-2899-4d0c-ad6b-75386f6d6d25
NXSHEAA0023510CD397600,0e363896-bb55-4977-9edb-5c73e2cca5f2
LR048QJ4,0eaec447-bef1-4831-8a60-a2ff03cbea01
NXSHEAA0023510CE347600,0ebd9f2d-73bf-4cbb-adb9-f142393d9836
LR048PQE,0edc9967-82e8-4eb8-8fa3-4e617cb0d94a
LR0498BF,0ee28352-7876-446b-a6ae-67b622c40675
NXSHEAA002413061987600,0eed5c75-428f-41a5-91aa-13b9d318e4c1
LR05XQVA,0f8391ee-8838-4d2c-abb4-34f537f592ff
LR04524G,0fa36763-d518-4244-a28d-fabe1fd5e15d
NXSHEAA00241305A7C7600,0fc9b6d7-18e0-4cbb-a537-8e145d68d7e4
LR048PQQ,10233cf0-ce55-4e97-becd-2019e6b8c22e
LR048QJ8,10335da4-8f60-4121-bc52-8af3eb15d3f1
LR048PSV,1035601d-b361-469d-b332-70e2af3c1742
LR048PRR,10c53734-f7d7-4407-92ff-7a25c2fb4b43
NXSHEAA00241305B177600,113bd14b-fc11-43ca-abd3-6750315ab3ab
LR03Y775,1160d9b5-4867-4220-b81a-0ec649a6d46a
LR03Z1M9,118468b7-f029-4b7b-b08c-91f2fac76864
LR05C94U,1218d9bc-cff9-4536-8b87-a892d9ecb2cf
NXSHEAA0023510CE0B7600,1232723f-5e1c-48c4-86e8-f6174051a6c2
LR03Y712,126ef1d1-b081-4133-b2d4-d44bacc745fe
LR048QA5,13c9e404-e9c5-4de2-9469-f30110474ced
NXSHEAA00241305B2A7600,13d6b1b0-8f8b-406a-80b8-544a61370996
NXSHEAA0023510CDAE7600,13db77df-a2c1-40b7-83ea-d4136ae8180a
NXSHEAA002413061AE7600,14b34326-90eb-4b0f-863f-7e5e92ba1f92
NXSHEAA00241305BC27600,155ed113-dfd6-4244-84c5-cee42c4f863b
LR03Y77C,1592742d-5dd8-481d-91a8-47ca4097d0ec
NXSHEAA00241305B157600,15a848bd-83ab-4bec-8f91-982cdf8d5e2f
LR048PR0,1600982b-4edd-4a4e-9a4d-9a6a63127383
LR03Z169,16706402-9290-497f-9af2-ddaaf2ecdac0
LR03Z1DS,169c9860-06dc-43d7-833e-8b60035d7ff9
LR0454WA,16c8f3d4-248c-4413-85a6-fd628b2376ca
LR048PT8,174aea6e-0695-4347-bf57-62611059d62b
LR03Z1JA,17f5d1bd-41e2-4e55-aa8f-ecfc29a89744
LR048QKL,183e277b-ab9f-46cc-9b09-9929395bd9e0
LR048PTM,18511eba-1626-4813-92db-3b817e7ff048
LR04989R,1866eed6-dbde-4078-8c51-e83586eaced4
LR03Z17A,18b06428-4fde-4fcc-be63-c28558402d65
NXSHEAA00241305B3F7600,18baa0d3-b8c1-47bb-97c5-ea4eaebe7693
LR062TZK,190c9275-6291-46c9-b83c-f872cb5106d7
LR048QJL,1944cc6e-4add-4088-8a35-04e82fcf877a
NXSHEAA0023510CE2B7600,196b59c5-9a6b-46eb-b9cc-711ff2a2f54a
LR03Y7BE,19b1c1db-d9f1-4eb4-8999-e318be5ae134
LR03Y7KD,1b51669c-9506-45db-8e9f-4a45a6260cd5
LR062TZG,1be2357e-1943-47d7-b1f3-ac79d1c1d341
NXSHEAA00241002DDC7600,1bed1c59-77af-494b-b1f6-ad112c16692a
NXSHEAA00241305C2D7600,1c3bb97a-8fe1-4020-a75c-ea5d19b0bc63
LR03Y7E7,1cbd9801-4c68-4ee6-8dd6-8df8d8110c59
NXSHEAA00241305BE07600,1cc5455f-d4f5-4364-8c6b-f1093e03a66f
LR048QKQ,1eaf5d8d-c723-445f-ba01-8b496c693f5b
LR048QKD,1f5c0674-0943-4a3f-b583-6ed6e71c19d0
NXSHEAA00241305B287600,1f808a58-f697-4f2a-83ac-113e36e9f320
LR03Z18F,1fb8810c-ad30-499b-b8de-edec3d190c81
LR03Y7PU,1fdee4aa-37a0-42e8-bdf0-2afca33f5087
NXSHEAA0023510CE257600,1fe48e5a-dc5a-41e8-ac9d-e6f505d6627b
