
serial,room,asset,id
LR062TYP,10201,3483,155c6cbe-7570-4c27-93aa-b571c15b0330
LR062T6E,10201,3484,a2f81540-9e41-4e8a-a9f6-17991298e1f5
LR062TZ6,10201,3485,29f9582b-c9ba-48ad-ad15-f047662e7f98
LR062TYT,10201,3486,6c77ea3c-1172-437f-bc07-563bb48e105d
LR062TUY,10201,3487,4354771e-5678-4896-bdee-1941c09eb547
LR062TX0,10201,3499,2005a6f1-768c-4b30-a8fe-55a2d6f27a31
LR062TY2,10201,3493,b69c0f44-868d-4cf6-9bed-5782a597de46
LR062TYU,10201,3492,3c73c302-5122-4703-8d7d-67c81d01fc52
LR062TY0,10201,3491,782b67ea-6fac-4d6f-bb38-f58694e7bf9a
LR062TUL,10201,3490,1d4e5de5-4831-48c6-9422-f08d56e95fad
LR062TYR,10201,3489,0ce8183f-bcce-40c2-8eba-d93c77689abe
LR062TUJ,10201,3488,f7189afc-cfdc-4b70-a6fa-e7560a9e4c96
LR062TEV,10201,3498,509fd151-e2b8-4c90-81fe-52e723e7c6f6
LR062TZL,10201,3497,6fc4ca81-7b87-4be1-bf97-59fd1f208162
LR062TYW,10201,3496,c75dc066-6368-4bbf-9909-e93fb67952bc
LR062TZ8,10201,3495,3f7322d0-59d0-40c9-837f-08f580c02932
LR062TYS,10201,3494,069d5e31-5d90-4fc9-ac51-96c459610cf2
LR062EHK,10201,3506,32556f01-8792-441f-90be-cddb032ec691
LR062EJM,10201,3505,e3882ace-5f65-4210-b602-8c85d8e14443
LR062EJB,10201,3504,19e1017e-b0e9-484c-ac08-e48046b137fb
LR05XQVT,10201,3503,8f121d42-2a20-4a8d-b65f-f39f33c3ff4e
LR05XQWN,10201,3502,51dcd07a-c7fd-4ce3-8509-2caa098f962d
LR05XQYQ,10201,3501,d74cf2eb-40ec-437b-939c-3c3965567889
LR05C948,10201,3500,99c8a59a-dee8-44d9-a8f6-ff358c25512b
LR062EDD,10203,3507,7c8b8b7b-3573-4715-8e59-f4fee5efef7f
LR062EHL,10203,3508,66395521-26fa-48e4-ba65-528f3c1c8a06
LR062EJ0,10203,3509,7eb20f75-f43b-4a13-8ec1-cd14b8d77d77
LR062EFY,10203,3510,d4dbf10e-3ad6-4586-9801-cdad30b91be8
LR062EMZ,10203,3511,a4833fa2-36b4-44e3-8b77-24688ad89d74
LR062EXL,10203,3512,0de70ee9-39d7-4dc2-a2c0-3f34643dc739
LR062F4W,10203,3513,1029fb13-fced-40ea-b44c-8b2af797a917
LR062EBS,10203,3514,9e2e28e2-437a-4fb8-b2e9-0ebbe6927f04
LR062F42,10203,3515,933f94f9-c874-4e4c-87d4-ae7ff29ea79b
LR062EEU,10203,3516,64883f1a-6e3f-4f65-8560-24bf2d44a8a3
LR05C94U,10203,3517,1218d9bc-cff9-4536-8b87-a892d9ecb2cf
LR05C94A,10203,3518,26e4da13-8651-4db9-a84f-7fa5421e0b32
